sample-id,absolute-filepath,direction
S210707163911,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163911-1-1-1_S151_L001_R1_001.fastq,forward
S210707163911,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163911-1-1-1_S151_L001_R2_001.fastq,reverse
S210707163912,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163912-1-1-1_S152_L001_R1_001.fastq,forward
S210707163912,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163912-1-1-1_S152_L001_R2_001.fastq,reverse
S210707163913,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163913-1-1-1_S153_L001_R1_001.fastq,forward
S210707163913,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163913-1-1-1_S153_L001_R2_001.fastq,reverse
S210707163914,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163914-1-1-1_S154_L001_R1_001.fastq,forward
S210707163914,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163914-1-1-1_S154_L001_R2_001.fastq,reverse
S210707163915,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163915-1-1-1_S155_L001_R1_001.fastq,forward
S210707163915,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163915-1-1-1_S155_L001_R2_001.fastq,reverse
S210707163916,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163916-1-1-1_S146_L001_R1_001.fastq,forward
S210707163916,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163916-1-1-1_S146_L001_R2_001.fastq,reverse
S210707163917,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163917-1-1-1_S148_L001_R1_001.fastq,forward
S210707163917,/mnt/nupeb/rede-micro/datasets/karina-16S/datasets/decompressed_reads/210707163917-1-1-1_S148_L001_R2_001.fastq,reverse
